time;data;year;month;su;label;tillage;tillage_d;ov_time;conv;time_conv;cover;crop;x;y;coor1;cood2;state;muni;ID;prof;FCO2;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;60;7647673.68;782062.71;SP;Jaboticabal;56;0-0.1;0.764;20.97;NA;5.3;26;30;2.6;25;9;31;36.6;67.6;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;60;60;7647673.68;782062.71;SP;Jaboticabal;57;0-0.1;0.577;22.15;NA;5.2;27;32;3.8;31;12;34;46.8;80.8;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;10;70;7647673.68;782062.71;SP;Jaboticabal;58;0-0.1;0.621;21.11;NA;5.2;24;57;4.5;27;13;33;44.2;77.2;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;25;70;7647673.68;782062.71;SP;Jaboticabal;59;0-0.1;0.618;21.31;NA;5.1;25;51;3.6;25;11;34;39.6;73.6;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;70;7647673.68;782062.71;SP;Jaboticabal;60;0-0.1;1.15;20.68;NA;5.2;25;37;6.1;28;13;34;47.1;81.1;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;55;70;7647673.68;782062.71;SP;Jaboticabal;61;0-0.1;0.674;21.84;NA;5.2;24;36;3.4;29;13;34;45.4;79.4;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;70;70;7647673.68;782062.71;SP;Jaboticabal;62;0-0.1;0.862;22.24;NA;5.3;28;39;3.5;34;13;31;50.5;81.5;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;0;80;7647673.68;782062.71;SP;Jaboticabal;63;0-0.1;0.747;20.95;NA;5.3;22;60;4.2;26;12;34;42.2;76.2;55;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;80;7647673.68;782062.71;SP;Jaboticabal;64;0-0.1;1.03;21.28;NA;5.4;23;31;5.0;27;12;28;44.0;72.0;61;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;80;80;7647673.68;782062.71;SP;Jaboticabal;65;0-0.1;1.05;22.02;NA;5.2;28;34;4.8;29;11;34;44.8;78.8;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;13/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;12;01/01/1970;31;descoberto;milho_soja;0;0;7647673.68;782062.71;SP;Jaboticabal;1;0-0.1;1.54;18.09;NA;5.1;20;46;2.4;25;11;31;38.4;69.4;55;NA;NA;NA;NA;NA;NA;NA;NA;NA
